threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
0.286,0.8186083289404322,0.7025578018541271,0.889926428975665,0.7852193995381063,0.9276296056542503,9239,2663,778,6290
0.287,0.8186610437532946,0.7029082774049217,0.88907753254103,0.7851074462768616,0.9276296056542503,9246,2656,784,6284
0.288,0.8188719030047443,0.7034961900493052,0.888228636106395,0.7851425712856428,0.9276296056542503,9256,2646,790,6278
0.289,0.8190300474433315,0.7039613960273818,0.8875212224108658,0.7851555166155579,0.9276296056542503,9264,2638,795,6273
0.29,0.8191354770690564,0.70425699202516,0.8870967741935484,0.7851731262914031,0.9276296056542503,9269,2633,798,6270
0.291,0.8190300474433315,0.7043742269200495,0.8862478777589134,0.7849132259883466,0.9276296056542503,9273,2629,804,6264
0.292,0.8193990511333685,0.704975236380009,0.8861063950198076,0.7852306920762286,0.9276296056542503,9281,2621,805,6263
0.293,0.8199261992619926,0.7058160504959423,0.8859649122807017,0.7856963613550816,0.9276296056542503,9292,2610,806,6262
0.294,0.8200843437005798,0.7061942908721652,0.8855404640633843,0.7857636055489298,0.9276296056542503,9298,2604,809,6259
0.295,0.8202424881391671,0.7066666666666667,0.8848330503678551,0.7857771076768438,0.9276296056542503,9306,2596,814,6254
0.296,0.8205060622034792,0.7071129707112971,0.8846915676287493,0.7859971089183584,0.9276296056542503,9312,2590,815,6253
0.297,0.8208750658935161,0.7077672101449275,0.8844086021505376,0.7862893081761007,0.9276296056542503,9321,2581,817,6251
0.298,0.8210859251449657,0.7082294264339152,0.8839841539332202,0.7864065449968534,0.9276296056542503,9328,2574,820,6248
0.299,0.821244069583553,0.708612277317599,0.8835597057159027,0.7864744033751023,0.9276296056542503,9334,2568,823,6245
